order_item_id,order_id,product_id,quantity,unit_price_usd,line_total_usd
OI10001,O5001,P1001,1,39.99,39.99
OI10002,O5001,P1014,1,32.99,32.99
OI10003,O5002,P1004,1,199.99,199.99
OI10004,O5003,P1005,1,34.99,34.99
OI10005,O5003,P1008,1,24.99,24.99
OI10006,O5003,P1011,1,14.99,14.99
OI10007,O5004,P1013,1,79.99,79.99
OI10008,O5004,P1015,1,12.99,12.99
OI10009,O5005,P1007,1,249.99,249.99
OI10010,O5006,P1002,1,89.99,89.99
OI10011,O5006,P1004,1,199.99,199.99
OI10012,O5006,P1013,1,79.99,79.99
OI10013,O5007,P1001,1,39.99,39.99
OI10014,O5007,P1015,1,12.99,12.99
OI10015,O5007,P1011,1,14.99,14.99
OI10016,O5008,P1004,1,199.99,199.99
OI10017,O5008,P1012,1,54.99,54.99
